city,lon,lat,max_temp,humidity,clouds,wind,country,date
hami,93.45,42.8,-1.21,44,1,0.27,CN,1676482941
valdez,-78.9831,1.2492,27.1,75,60,3.39,EC,1676482941
yulara,130.9889,-25.2406,28.85,31,53,1.38,AU,1676482942
neuquen,-68.0591,-38.9516,25.94,29,0,5.14,AR,1676482828
roald,6.1333,62.5833,12.51,66,40,5.66,NO,1676482942
nichinan,131.3667,31.6,4.97,78,48,4.13,JP,1676482852
itupiranga,-49.3267,-5.1347,31.18,75,89,1.44,BR,1676482943
plastun,136.2939,44.7561,-15.71,73,2,3.38,RU,1676482943
kadambur,77.8667,8.9833,22.96,67,2,2.06,IN,1676482943
lamar,-95.5836,33.6668,22.42,59,0,2.57,US,1676482944
seydi,62.9137,39.4816,5.19,95,100,4.02,TM,1676482944
victor harbor,138.6167,-35.5667,27.04,35,97,3.17,AU,1676482945
yinchuan,106.2731,38.4681,-4.09,79,10,1.02,CN,1676482946
vao,167.4833,-22.6667,23.6,60,89,2.82,NC,1676482946
nanortalik,-45.2371,60.1432,-8.77,71,19,4.91,GL,1676482946
qasigiannguit,-51.1922,68.8193,-16.86,75,100,1.8,GL,1676482947
yingcheng,113.55,30.95,5.12,56,66,2.21,CN,1676482948
kenora,-94.4337,49.8167,-14.57,77,83,4.92,CA,1676482949
selfoss,-20.9971,63.9331,-0.53,78,84,2.05,IS,1676482949
azangaro,-70.2167,-14.9167,16.36,44,99,3.37,PE,1676482949
camabatela,15.375,-8.1881,17.88,97,95,1.1,AO,1676482950
ilulissat,-51.1,69.2167,-16.99,39,75,2.06,GL,1676482950
keti bandar,67.4497,24.1447,22.32,76,0,4.27,PK,1676482950
cockburn town,-74.5167,24.0333,24.11,63,42,7.73,BS,1676482950
jardim,-56.1381,-21.4803,29.58,67,97,0.2,BR,1676482951
georgetown,-14.4167,-7.9333,26.14,69,94,6.34,SH,1676482952
idritsa,28.8988,56.3316,-0.25,99,100,0.72,RU,1676482953
blenheim,-81.9998,42.3334,12.57,64,51,13.13,CA,1676482953
bambanglipuro,110.2833,-7.95,24.26,90,100,2.61,ID,1676482953
puerto ayacucho,-67.6236,5.6639,29.89,64,92,1.98,VE,1676482954
eyl,49.8164,7.9803,24.66,66,31,6.96,SO,1676482954
deputatskiy,139.9,69.3,-41.83,97,34,2.37,RU,1676482954
wairoa,177.3667,-39.0333,14.1,88,82,1.19,NZ,1676482955
buta,24.73,2.7858,27.54,27,38,0.96,CD,1676482956
aden,45.0367,12.7794,24.81,74,3,6.6,YE,1676482956
mortka,66.0214,59.3322,-14.23,97,100,1.49,RU,1676482956
sobolevo,31.8996,54.4299,-8.83,97,30,2.06,RU,1676482957
atar,-13.0499,20.5169,33.61,11,6,1.48,MR,1676482957
yerbogachen,108.0108,61.2767,-28.42,100,94,1.36,RU,1676482958
maniitsoq,-52.9,65.4167,-12.85,64,100,6.27,GL,1676482958
saint-denis,55.4667,-20.8667,25.26,76,75,3.6,RE,1676482958
viedma,-62.9967,-40.8135,21.96,32,65,9.92,AR,1676482959
tashara,83.5094,55.5195,-23.38,100,61,1.53,RU,1676482959
elizabeth city,-76.2511,36.2946,23.01,64,40,8.75,US,1676482960
logumkloster,8.9551,55.0594,4.18,95,100,3.37,DK,1676482960
ashland,-82.2665,40.8167,18.26,51,54,11.2,US,1676482960
pisco,-76.2167,-13.7,25.03,78,20,4.63,PE,1676482889
kabo,18.629,7.6994,28.89,17,20,2.43,CF,1676482961
liuzhou,109.3892,24.3126,10.74,54,11,3.02,CN,1676482961
champerico,-91.9167,14.3,32.3,58,0,4.2,GT,1676482962
thomaston,-84.3266,32.8882,21.88,64,75,2.57,US,1676482962
port keats,129.55,-14.25,27.34,80,71,2.72,AU,1676482962
seymchan,152.4333,62.8833,-29.69,95,100,2.01,RU,1676482963
ruiz,-105.15,21.95,27.83,28,0,1.46,MX,1676482963
samarai,150.6667,-10.6167,27.86,79,98,4.27,PG,1676482963
batagay-alyta,130.4114,67.8006,-37.09,87,34,1.8,RU,1676482964
mecca,39.8261,21.4267,18.92,51,39,6.39,SA,1676482718
petropavlovsk-kamchatskiy,158.6483,53.0452,-3.67,50,75,9.0,RU,1676482964
paamiut,-49.6678,61.994,-8.88,59,91,5.16,GL,1676482965
kayerkan,87.7602,69.3497,-16.93,84,100,6.68,RU,1676482965
vardo,31.1107,70.3705,-0.01,93,0,10.8,NO,1676482966
beatrice,-96.747,40.2681,-0.01,74,100,6.69,US,1676482966
bestobe,73.0975,52.4994,-23.51,100,91,0.85,KZ,1676482967
primo tapia,-116.9172,32.22,12.52,31,6,2.34,MX,1676482967
kieta,155.6333,-6.2167,26.06,79,100,0.94,PG,1676482967
